,Date,Price,NAV,Prem/Disc,Return on Price,Return on NAV,Prem/Disc Z-score
213,2019-03-20,15.86,16.78,-5.482717520858174,15.935672514619881,11.717709720372847,0.5299834686035283
214,2019-03-21,15.94,16.83,-5.288175876411164,19.759579263711487,14.256619144602837,0.6966297596223566
215,2019-03-22,15.7,16.53,-5.0211736237144695,18.66969009826152,14.791666666666673,0.9953470012694722
216,2019-03-25,15.64,16.51,-5.269533615990314,13.74545454545455,9.628154050464815,0.7011141276853644
217,2019-03-26,15.66,16.57,-5.491852745926374,13.890909090909092,10.026560424966798,0.4370549257424565
218,2019-03-27,15.64,16.53,-5.384150030248037,13.580246913580254,9.180977542932633,0.5535538753268
219,2019-03-28,15.7,16.58,-5.307599517490948,11.903064861012117,9.511228533685586,0.6820028027452394
220,2019-03-29,15.77,16.68,-5.455635491606715,12.002840909090907,9.162303664921469,0.4280292371429486
221,2019-04-01,15.91,16.86,-5.634638196915772,11.884669479606185,10.124101894186799,0.08862135067727665
222,2019-04-02,15.94,16.9,-5.68047337278106,12.095639943741201,10.385369039843226,0.005370435816536648
223,2019-04-03,15.99,16.93,-5.552274069698757,14.377682403433475,13.09285237140948,0.2064413209937819
224,2019-04-04,15.97,17.01,-6.114050558495008,12.623413258110022,10.168393782383433,-0.9204578265014297
225,2019-04-05,16.08,17.08,-5.85480093676815,11.357340720221599,10.264686894770806,-0.6192554429321829
226,2019-04-08,16.13,17.12,-5.782710280373843,10.479452054794516,9.743589743589752,-0.5126661064460561
227,2019-04-09,16.1,17.04,-5.516431924882616,9.44935418082937,8.328035600762865,0.19607098891581484
228,2019-04-10,16.11,17.1,-5.789473684210537,9.220338983050844,8.502538071066,-0.6640788577675758
229,2019-04-11,16.14,17.08,-5.503512880562048,8.540685944855424,8.306911857958141,0.1788810192760332
230,2019-04-12,16.09,17.05,-5.630498533724345,9.679618268575323,9.224855861627171,-0.23765346057348039
231,2019-04-15,16.1,17.08,-5.737704918032769,8.126259234385499,8.306911857958141,-0.6105257979971507
232,2019-04-16,16.07,17.02,-5.581668625146882,7.563587684069617,7.6533839342188426,-0.09499177491880496
233,2019-04-17,16.05,17.01,-5.6437389770723145,7.28609625668449,6.913890634820877,-0.29250880855115474
234,2019-04-18,16.07,17.03,-5.6371109806224355,6.072607260726072,5.907960199004993,-0.29248201229658205
235,2019-04-22,16.07,17.04,-5.692488262910792,7.204803202134757,7.23725613593454,-0.48445155403871093
236,2019-04-23,16.17,17.16,-5.769230769230759,7.800000000000011,7.788944723618092,-0.734502974490416
237,2019-04-24,16.19,17.14,-5.542590431738619,8.366800535475246,7.663316582914577,0.012569427905355835
238,2019-04-25,16.21,17.1,-5.204678362573103,7.70764119601329,6.674984404242047,1.1278396665215507
239,2019-04-26,16.17,17.16,-5.769230769230759,7.800000000000011,7.653701380175663,-0.8648935695875097
240,2019-04-29,16.25,17.19,-5.468295520651548,8.117099135063212,7.706766917293235,0.1825300900431209
241,2019-04-30,16.21,17.16,-5.536130536130532,6.29508196721312,6.122448979591826,-0.0793301064514001
242,2019-05-01,16.25,17.04,-4.63615023474178,6.001304631441617,4.926108374384242,2.9068650850609754
243,2019-05-02,16.08,16.98,-5.300353356890472,4.145077720207246,3.7897310513447495,0.6531072719941351
244,2019-05-03,16.2,17.07,-5.096660808435858,4.922279792746113,4.339853300733502,1.3077642286662345
245,2019-05-06,16.12,17.03,-5.34351145038168,3.465982028241341,3.904820012202566,0.4767560074954209
246,2019-05-07,15.87,16.79,-5.47945205479452,2.918287937743186,2.8799019607843066,0.05576283884520358
247,2019-05-08,15.97,16.75,-4.656716417910444,3.3656957928802673,2.760736196319014,2.6479607309085402
248,2019-05-09,15.86,16.73,-5.200239091452486,2.5873221216041307,2.7010435850214938,0.9025734474665387
249,2019-05-10,15.93,16.76,-4.952267303102635,3.0401034928848567,2.8852056476366017,1.6465650733969257
250,2019-05-13,15.55,16.34,-4.83476132190942,-0.7024265644955263,-0.7290400972053522,1.9975552676445965
